"Country or Area","Year(s)","Variant","Value"
"Ireland","2068","Lower 95 PI","5111.081"
"Ireland","2067","Medium","5782.984"
"Ireland","2067","High","6646.16"
"Ireland","2067","Low","4999.394"
"Ireland","2067","Constant fertility","5849.887"
"Ireland","2067","Instant replacement","6432.902"
"Ireland","2067","Zero migration","5148.261"
"Ireland","2067","Constant mortality","5454.675"
"Ireland","2067","No change","5521.327"
"Ireland","2067","Momentum","5433.539"
"Ireland","2067","Instant replacement zero migration","5751.703"
"Ireland","2067","Median PI","5782.984"
"Ireland","2067","Upper 80 PI","6245.027"
"Ireland","2067","Lower 80 PI","5373.285"
"Ireland","2067","Upper 95 PI","6499.603"
"Ireland","2067","Lower 95 PI","5133.5"
"Ireland","2066","Medium","5785.419"
"Ireland","2066","High","6616.654"
"Ireland","2066","Low","5026.287"
"Ireland","2066","Constant fertility","5849.196"
"Ireland","2066","Instant replacement","6412.549"
"Ireland","2066","Zero migration","5167.166"
"Ireland","2066","Constant mortality","5465.947"
"Ireland","2066","No change","5529.495"
"Ireland","2066","Momentum","5440.014"
"Ireland","2066","Instant replacement zero migration","5750.199"
"Ireland","2066","Median PI","5785.42"
"Ireland","2066","Upper 80 PI","6234.268"
"Ireland","2066","Lower 80 PI","5390.498"
"Ireland","2066","Upper 95 PI","6476.731"
"Ireland","2066","Lower 95 PI","5157.191"
"Ireland","2065","Medium","5787.445"
"Ireland","2065","High","6587.35"
"Ireland","2065","Low","5052.426"
"Ireland","2065","Constant fertility","5848.307"
"Ireland","2065","Instant replacement","6392.162"
"Ireland","2065","Zero migration","5185.589"
"Ireland","2065","Constant mortality","5477.16"
"Ireland","2065","No change","5537.81"
"Ireland","2065","Momentum","5446.678"
"Ireland","2065","Instant replacement zero migration","5748.474"
"Ireland","2065","Median PI","5787.445"
"Ireland","2065","Upper 80 PI","6221.251"
"Ireland","2065","Lower 80 PI","5405.574"
"Ireland","2065","Upper 95 PI","6446.766"
"Ireland","2065","Lower 95 PI","5180.144"
"Ireland","2064","Medium","5789.038"
"Ireland","2064","High","6558.292"
"Ireland","2064","Low","5077.75"
"Ireland","2064","Constant fertility","5847.175"
"Ireland","2064","Instant replacement","6371.713"
"Ireland","2064","Zero migration","5203.493"
"Ireland","2064","Constant mortality","5488.229"
"Ireland","2064","No change","5546.169"
"Ireland","2064","Momentum","5453.43"
"Ireland","2064","Instant replacement zero migration","5746.492"
"Ireland","2064","Median PI","5789.038"
"Ireland","2064","Upper 80 PI","6207.346"
"Ireland","2064","Lower 80 PI","5419.287"
"Ireland","2064","Upper 95 PI","6415.608"
"Ireland","2064","Lower 95 PI","5201.621"
"Ireland","2063","Medium","5790.212"
"Ireland","2063","High","6529.578"
"Ireland","2063","Low","5102.219"
"Ireland","2063","Constant fertility","5845.717"
"Ireland","2063","Instant replacement","6351.153"
"Ireland","2063","Zero migration","5220.861"
"Ireland","2063","Constant mortality","5499.118"
"Ireland","2063","No change","5554.447"
"Ireland","2063","Momentum","5460.164"
"Ireland","2063","Instant replacement zero migration","5744.194"
"Ireland","2063","Median PI","5790.212"
"Ireland","2063","Upper 80 PI","6193.263"
"Ireland","2063","Lower 80 PI","5430.231"
"Ireland","2063","Upper 95 PI","6392.101"
"Ireland","2063","Lower 95 PI","5221.422"
"Ireland","2062","Medium","5790.807"
"Ireland","2062","High","6501.099"
"Ireland","2062","Low","5125.666"
"Ireland","2062","Constant fertility","5843.845"
"Ireland","2062","Instant replacement","6330.435"
"Ireland","2062","Zero migration","5237.546"
"Ireland","2062","Constant mortality","5509.642"
"Ireland","2062","No change","5562.516"
"Ireland","2062","Momentum","5466.782"
"Ireland","2062","Instant replacement zero migration","5741.531"
"Ireland","2062","Median PI","5790.807"
"Ireland","2062","Upper 80 PI","6178.274"
"Ireland","2062","Lower 80 PI","5440.928"
"Ireland","2062","Upper 95 PI","6374.48"
"Ireland","2062","Lower 95 PI","5242.357"
"Ireland","2061","Medium","5790.721"
"Ireland","2061","High","6472.8"
"Ireland","2061","Low","5147.963"
"Ireland","2061","Constant fertility","5841.476"
"Ireland","2061","Instant replacement","6309.533"
"Ireland","2061","Zero migration","5253.433"
"Ireland","2061","Constant mortality","5519.643"
"Ireland","2061","No change","5570.244"
"Ireland","2061","Momentum","5473.201"
"Ireland","2061","Instant replacement zero migration","5738.464"
"Ireland","2061","Median PI","5790.721"
"Ireland","2061","Upper 80 PI","6164.122"
"Ireland","2061","Lower 80 PI","5452.425"
"Ireland","2061","Upper 95 PI","6356.37"
"Ireland","2061","Lower 95 PI","5263.792"
"Ireland","2060","Medium","5789.972"
"Ireland","2060","High","6444.767"
"Ireland","2060","Low","5169.085"
"Ireland","2060","Constant fertility","5838.501"
"Ireland","2060","Instant replacement","6288.404"
"Ireland","2060","Zero migration","5268.516"
"Ireland","2060","Constant mortality","5529.099"
"Ireland","2060","No change","5577.489"
"Ireland","2060","Momentum","5479.351"
"Ireland","2060","Instant replacement zero migration","5734.946"
"Ireland","2060","Median PI","5789.972"
"Ireland","2060","Upper 80 PI","6150.327"
"Ireland","2060","Lower 80 PI","5462.504"
"Ireland","2060","Upper 95 PI","6338.272"
"Ireland","2060","Lower 95 PI","5285.921"
"Ireland","2059","Medium","5788.371"
"Ireland","2059","High","6416.83"
"Ireland","2059","Low","5188.854"
"Ireland","2059","Constant fertility","5834.789"
"Ireland","2059","Instant replacement","6266.993"
"Ireland","2059","Zero migration","5282.628"
"Ireland","2059","Constant mortality","5537.817"
